date,OT
2016/1/1 0:55,98.8084
2016/1/1 1:55,96.1946
2016/1/1 2:55,91.8919
2016/1/1 3:55,103.1864
2016/1/1 4:55,85.3561
2016/1/1 5:55,94.4684
2016/1/1 6:55,88.5822
2016/1/1 7:55,89.4941
2016/1/1 8:55,83.6988
2016/1/1 9:55,95.30167150079542
2016/1/1 10:55,94.2761
2016/1/1 11:55,99.5474
2016/1/1 12:55,125.6074
2016/1/1 13:55,116.8821
2016/1/1 14:55,110.2658
2016/1/1 15:55,99.839
2016/1/1 16:55,109.0031
2016/1/1 17:55,107.245
2016/1/1 18:55,100.5162
2016/1/1 19:55,108.2322
2016/1/1 20:55,93.7337
2016/1/1 21:55,94.8052
2016/1/1 22:55,97.622
2016/1/1 23:55,100.6043
2016/1/2 0:55,85.4324
2016/1/2 1:55,91.2935
2016/1/2 2:55,85.4516
2016/1/2 3:55,95.9076
2016/1/2 4:55,89.3633
2016/1/2 5:55,89.197
2016/1/2 6:55,93.1847
2016/1/2 7:55,99.983
2016/1/2 8:55,103.5777
2016/1/2 9:55,112.7031
2016/1/2 10:55,119.2067
2016/1/2 11:55,120.9989
2016/1/2 12:55,145.5699
2016/1/2 13:55,133.3852
2016/1/2 14:55,123.2127
2016/1/2 15:55,117.0482
2016/1/2 16:55,118.1535
2016/1/2 17:55,101.44974072365036
2016/1/2 18:55,113.629
2016/1/2 19:55,114.6108
2016/1/2 20:55,108.4713
2016/1/2 21:55,107.2953
2016/1/2 22:55,106.0351
2016/1/2 23:55,104.6868
2016/1/3 0:55,89.5987
2016/1/3 1:55,89.3274
2016/1/3 2:55,85.9673
2016/1/3 3:55,95.8401
2016/1/3 4:55,87.1065
2016/1/3 5:55,91.5825
2016/1/3 6:55,91.2359
2016/1/3 7:55,93.7373
2016/1/3 8:55,93.231
2016/1/3 9:55,105.9075
2016/1/3 10:55,107.6012
2016/1/3 11:55,110.9426
2016/1/3 12:55,147.3055
2016/1/3 13:55,121.7734
2016/1/3 14:55,119.8113
2016/1/3 15:55,118.0899
2016/1/3 16:55,116.6458
2016/1/3 17:55,114.6373
2016/1/3 18:55,107.0667
2016/1/3 19:55,120.624
2016/1/3 20:55,104.9641
2016/1/3 21:55,102.7187
2016/1/3 22:55,100.06867229878537
2016/1/3 23:55,106.3635
2016/1/4 0:55,79.5794932179513
2016/1/4 1:55,91.9316
2016/1/4 2:55,88.8018
2016/1/4 3:55,108.8303
2016/1/4 4:55,112.8912
2016/1/4 5:55,155.1702
2016/1/4 6:55,160.9311
2016/1/4 7:55,165.5579
2016/1/4 8:55,146.8381
2016/1/4 9:55,142.3419
2016/1/4 10:55,143.8383
2016/1/4 11:55,159.3057
2016/1/4 12:55,201.1703
2016/1/4 13:55,265.9717
2016/1/4 14:55,185.2226
2016/1/4 15:55,166.0755
2016/1/4 16:55,171.0294
