date,OT
2017/1/1 0:00,0.781318808
2017/1/1 1:00,0.500109195
2017/1/1 2:00,0.314532205
2017/1/1 3:00,0.19490889
2017/1/1 4:00,0.153005783
2017/1/1 5:00,0.173709845
2017/1/1 6:00,0.286545663
2017/1/1 7:00,0.535707697
2017/1/1 8:00,0.736105945
2017/1/1 9:00,0.915097665
2017/1/1 10:00,1.037008813
2017/1/1 11:00,1.071416254
2017/1/1 12:00,1.053922968
2017/1/1 13:00,0.8828205827284767
2017/1/1 14:00,1.027575986
2017/1/1 15:00,1.014625699
2017/1/1 16:00,0.989818109
2017/1/1 17:00,0.978035651
2017/1/1 18:00,1.051814816
2017/1/1 19:00,1.142402402
2017/1/1 20:00,1.164344662
2017/1/1 21:00,1.086760788723713
2017/1/1 22:00,1.065010233
2017/1/1 23:00,1.117979623
2017/1/2 0:00,0.807671249
2017/1/2 1:00,0.508624841
2017/1/2 2:00,0.304787729
2017/1/2 3:00,0.192678787
2017/1/2 4:00,0.139962732
2017/1/2 5:00,0.150005365
2017/1/2 6:00,0.179311908
2017/1/2 7:00,0.429062909
2017/1/2 8:00,0.590598291
2017/1/2 9:00,0.758681332
2017/1/2 10:00,0.877175992
2017/1/2 11:00,0.930950421
2017/1/2 12:00,1.015794781
2017/1/2 13:00,0.975732886
2017/1/2 14:00,0.970193079
2017/1/2 15:00,0.980992679
2017/1/2 16:00,0.972330035
2017/1/2 17:00,0.949827625
2017/1/2 18:00,0.984173221
2017/1/2 19:00,1.075022562
2017/1/2 20:00,1.109131201
2017/1/2 21:00,1.140255209
2017/1/2 22:00,1.137156769
2017/1/2 23:00,1.200913876
2017/1/3 0:00,0.644728629
2017/1/3 1:00,0.488558322
2017/1/3 2:00,0.278548328
2017/1/3 3:00,0.175342282
2017/1/3 4:00,0.127477905
2017/1/3 5:00,0.141767062
2017/1/3 6:00,0.241584433
2017/1/3 7:00,0.429749698
2017/1/3 8:00,0.603909631
2017/1/3 9:00,0.740702673
2017/1/3 10:00,0.872964816
2017/1/3 11:00,0.917634894
2017/1/3 12:00,1.044202402
2017/1/3 13:00,0.921061496
2017/1/3 14:00,0.895010287
2017/1/3 15:00,0.922389722
2017/1/3 16:00,0.796383668649405
2017/1/3 17:00,0.923822025
2017/1/3 18:00,0.961960153
2017/1/3 19:00,1.013812067
2017/1/3 20:00,1.044174487
2017/1/3 21:00,1.039509232
2017/1/3 22:00,1.046245093
2017/1/3 23:00,1.090316934
2017/1/4 0:00,0.779349548
2017/1/4 1:00,0.503437376
2017/1/4 2:00,0.25728331
2017/1/4 3:00,0.160092014
2017/1/4 4:00,0.125774646
2017/1/4 5:00,0.148380621
2017/1/4 6:00,0.251941479
2017/1/4 7:00,0.459623334
2017/1/4 8:00,0.587913065
2017/1/4 9:00,0.738073969
2017/1/4 10:00,0.880743179
2017/1/4 11:00,0.949218375
2017/1/4 12:00,1.081230881
2017/1/4 13:00,0.933202203
2017/1/4 14:00,0.908652344
2017/1/4 15:00,0.956400925
2017/1/4 16:00,0.957016248
2017/1/4 17:00,0.964421268
2017/1/4 18:00,0.993432251
2017/1/4 19:00,1.070134415
2017/1/4 20:00,1.0445282837569172
2017/1/4 21:00,1.131335037
2017/1/4 22:00,1.128227585
2017/1/4 23:00,1.162570355
2017/1/5 0:00,0.836411014
2017/1/5 1:00,0.5112105015297989
2017/1/5 2:00,0.266981223
2017/1/5 3:00,0.169300238
2017/1/5 4:00,0.133458044
2017/1/5 5:00,0.163530658
2017/1/5 6:00,0.286362823
2017/1/5 7:00,0.518220322
2017/1/5 8:00,0.692527377
2017/1/5 9:00,0.832048764
2017/1/5 10:00,0.971471259
2017/1/5 11:00,1.048189993
2017/1/5 12:00,1.200232025
2017/1/5 13:00,1.031390811
2017/1/5 14:00,1.0019377055247753
2017/1/5 15:00,1.006369598
2017/1/5 16:00,1.021310483
2017/1/5 17:00,1.01433717
2017/1/5 18:00,1.079829938
2017/1/5 19:00,1.138128531
2017/1/5 20:00,1.150945029
2017/1/5 21:00,1.162812646
